"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Time delta from previous captured frame","Sequence Number","TCP Flags","This is an ACK to the segment in frame","TCP payload","Payload","Header Length","Info"
"2704","10:11:32.113172","192.168.0.1","224.0.0.1","IGMPv2","60","","0.000816000","","","","","","","Membership Query, general"
"2705","10:11:32.137073","192.168.0.1","239.255.255.250","SSDP","315","","0.023901000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2706","10:11:32.241137","192.168.0.1","239.255.255.250","SSDP","378","","0.104064000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2707","10:11:32.345233","192.168.0.1","239.255.255.250","SSDP","370","","0.104096000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2708","10:11:32.449138","192.168.0.1","239.255.255.250","SSDP","315","","0.103905000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2709","10:11:32.553045","192.168.0.1","239.255.255.250","SSDP","354","","0.103907000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2710","10:11:32.657248","192.168.0.1","239.255.255.250","SSDP","386","","0.104203000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2711","10:11:32.761352","192.168.0.1","239.255.255.250","SSDP","315","","0.104104000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2712","10:11:32.865045","192.168.0.1","239.255.255.250","SSDP","374","","0.103693000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2713","10:11:32.969153","192.168.0.1","239.255.255.250","SSDP","368","","0.104108000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2714","10:11:33.073191","192.168.0.1","239.255.255.250","SSDP","315","","0.104038000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2715","10:11:33.177052","192.168.0.1","239.255.255.250","SSDP","370","","0.103861000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2716","10:11:33.281159","192.168.0.1","239.255.255.250","SSDP","380","","0.104107000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2717","10:11:36.359011","192.168.0.101","52.210.184.200","TLSv1.2","97","4.783940000","3.077852000","6184","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","","170303001a0000000000000757126f83a1298a7ced328c69ccffe51721615c","","32","Application Data"
"2718","10:11:36.379666","52.210.184.200","192.168.0.101","TLSv1.2","97","0.020655000","0.020655000","1939","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","2717","170303001a00000000000008b8bece3c9a51707ad3ef3fbb0e38a54263276a","","32","Application Data"
"2719","10:11:36.380211","192.168.0.101","52.210.184.200","TCP","66","0.000545000","0.000545000","6215","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","2718","","","32","58088  >  443 [ACK] Seq=6215 Ack=1970 Win=8022 Len=0 TSval=3282774980 TSecr=4097771583"
"2720","10:11:47.170495","192.168.0.101","34.240.107.124","TCP","66","15.082829000","10.790284000","1767","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=1767 Ack=1768 Win=1002 Len=0 TSval=2003343228 TSecr=916664080"
"2721","10:11:47.191981","34.240.107.124","192.168.0.101","TCP","66","0.021486000","0.021486000","1768","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=1768 Ack=1768 Win=120 Len=0 TSval=916679184 TSecr=2003313094"
"2722","10:11:51.522520","192.168.0.101","52.210.184.200","TCP","66","15.142309000","4.330539000","6214","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=6214 Ack=1970 Win=8022 Len=0 TSval=3282790122 TSecr=4097771583"
"2723","10:11:51.541973","52.210.184.200","192.168.0.101","TCP","66","0.019453000","0.019453000","1970","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=1970 Ack=6215 Win=425 Len=0 TSval=4097786745 TSecr=3282774980"
"2724","10:11:52.014626","192.168.0.101","34.240.107.124","TLSv1.2","97","4.822645000","0.472653000","1768","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","","170303001a00000000000005efa8a511974595204151a74fc6e236f0f3e366","","32","Application Data"
"2725","10:11:52.036356","34.240.107.124","192.168.0.101","TLSv1.2","97","0.021730000","0.021730000","1768","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","2724","170303001a00000000000005f0a2e6810c4a90af1610ead4a28db00fe9308d","","32","Application Data"
"2726","10:11:52.037034","192.168.0.101","34.240.107.124","TCP","66","0.000678000","0.000678000","1799","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","2725","","","32","49730  >  443 [ACK] Seq=1799 Ack=1799 Win=1002 Len=0 TSval=2003348095 TSecr=916684029"
"2727","10:11:53.033424","192.168.0.1","239.255.255.250","SSDP","306","","0.996390000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2728","10:11:53.137130","192.168.0.1","239.255.255.250","SSDP","315","","0.103706000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2729","10:11:53.241204","192.168.0.1","239.255.255.250","SSDP","378","","0.104074000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2730","10:11:53.345262","192.168.0.1","239.255.255.250","SSDP","370","","0.104058000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2731","10:11:53.449199","192.168.0.1","239.255.255.250","SSDP","315","","0.103937000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2732","10:11:53.553026","192.168.0.1","239.255.255.250","SSDP","354","","0.103827000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2733","10:11:53.657143","192.168.0.1","239.255.255.250","SSDP","386","","0.104117000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2734","10:11:53.761221","192.168.0.1","239.255.255.250","SSDP","315","","0.104078000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2735","10:11:53.865111","192.168.0.1","239.255.255.250","SSDP","374","","0.103890000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2736","10:11:53.969317","192.168.0.1","239.255.255.250","SSDP","368","","0.104206000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2737","10:11:54.073186","192.168.0.1","239.255.255.250","SSDP","315","","0.103869000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2738","10:11:54.177011","192.168.0.1","239.255.255.250","SSDP","370","","0.103825000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2739","10:11:54.281271","192.168.0.1","239.255.255.250","SSDP","380","","0.104260000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
"2740","10:12:06.626422","192.168.0.101","52.210.184.200","TCP","66","15.084449000","12.345151000","6214","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=6214 Ack=1970 Win=8022 Len=0 TSval=3282805227 TSecr=4097786745"
"2741","10:12:06.645822","52.210.184.200","192.168.0.101","TCP","66","0.019400000","0.019400000","1970","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=1970 Ack=6215 Win=425 Len=0 TSval=4097801850 TSecr=3282774980"
"2742","10:12:07.138469","192.168.0.101","34.240.107.124","TCP","66","15.101435000","0.492647000","1798","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=1798 Ack=1799 Win=1002 Len=0 TSval=2003363197 TSecr=916684029"
"2743","10:12:07.159832","34.240.107.124","192.168.0.101","TCP","66","0.021363000","0.021363000","1799","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","","","","32","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=1799 Ack=1799 Win=120 Len=0 TSval=916699152 TSecr=2003348095"
"2744","10:12:11.349451","192.168.0.101","52.210.184.200","TLSv1.2","97","4.703629000","4.189619000","6215","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","","170303001a0000000000000758983dae8701ef3d6f33c56d0c31114940a4ad","","32","Application Data"
"2745","10:12:11.370064","52.210.184.200","192.168.0.101","TLSv1.2","97","0.020613000","0.020613000","1970","\302\267\302\267\302\267\302\267\302\267\302\267\302\267AP\302\267\302\267\302\267","2744","170303001a00000000000008b981de76e5ebc0b68043e9b6af8de5f6ec3326","","32","Application Data"
"2746","10:12:11.370367","192.168.0.101","52.210.184.200","TCP","66","0.000303000","0.000303000","6246","\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267","2745","","","32","58088  >  443 [ACK] Seq=6246 Ack=2001 Win=8022 Len=0 TSval=3282809971 TSecr=4097806574"
"2747","10:12:14.033413","192.168.0.1","239.255.255.250","SSDP","306","","2.663046000","","","","","4e4f54494659202a20485454502f312e310d0a484f53543a203233392e3235352e323535â\200\246","","NOTIFY * HTTP/1.1 "
